Model,Total Params (M),Avg Image Inference Time (ms),Best QWK,Accuracy,ROC-AUC
LGA-Net,48.3824,14.8485,0.8981,0.8186,0.8592
Swin-Tiny,27.5232,20.1189,0.8933,0.8131,0.9046
ResNet50,23.5183,13.762,0.8697,0.7844,0.8848
EfficientNet-B4,17.5576,14.5171,0.8509,0.7831,0.8747
MobileNetV2,2.2303,14.4352,0.8264,0.7449,0.8624
