Model,Total Params (M),Trainable Params (M),Avg Batch Inference Time (ms),Avg Image Inference Time (ms),Best QWK,Accuracy,ROC-AUC
LGA-Net,48.382408,48.382408,89.09099102020264,14.848498503367107,0.8981,0.8186,0.8592
Swin-Tiny,27.523199,27.523199,80.4756760597229,20.118919014930725,0.8933,0.8131,0.9046
ResNet50,23.518277,23.518277,82.57195949554443,13.761993249257404,0.8697,0.7844,0.8848
EfficientNet-B4,17.557581,17.557581,87.10259199142456,14.517098665237427,0.8509,0.7831,0.8747
MobileNetV2,2.230277,2.230277,86.61113977432251,14.435189962387085,0.8264,0.7449,0.8624
