,qwk,accuracy,auc_ovr,auc_No_DR,auc_Mild,auc_Moderate,auc_Severe,auc_Proliferative
1,0.9131629611862673,0.8076398362892224,0.9084067511775673,0.9992032287850355,0.9307714391174179,0.9261069418386492,0.788627798714254,0.89732434743248
2,0.9091140735145735,0.8335607094133697,0.8591208467997387,0.9964033598427307,0.9302382807693885,0.9256425891181989,0.7220128574595435,0.7213071468088317
3,0.9158783947665676,0.8415300546448088,0.8972507677456252,0.9941462394815241,0.8805142528546785,0.9314755639097745,0.8116563021386319,0.8684614803435162
4,0.8983869024131487,0.8019125683060109,0.9113701520711089,0.9967072597083573,0.9369917029491498,0.9127302631578947,0.7933414227210678,0.9170801118190748
5,0.9036535363114901,0.8401639344262295,0.9114176540955349,0.9871650327407397,0.9195350365563133,0.9196215599573855,0.8172753172753172,0.9134913239479185
mean,0.9080391736384094,0.8249614206159283,0.897513234377915,0.9947250241116775,0.9196101424493897,0.9231153835963806,0.7865827396617628,0.8635328820703642
std,0.007093344610351085,0.01878077942970382,0.022237693656211123,0.004590447882835479,0.02273842967843538,0.007163908386507854,0.038045530639873835,0.08178854704592645
