,No DR,Mild,Moderate,Severe,Proliferative
No DR,0.96398891966759,0.027700831024930747,0.008310249307479225,0.0,0.0
Mild,0.02702702702702703,0.5405405405405406,0.43243243243243246,0.0,0.0
Moderate,0.0,0.05,0.825,0.09,0.035
Severe,0.0,0.0,0.38461538461538464,0.38461538461538464,0.23076923076923078
Proliferative,0.0,0.05084745762711865,0.2542372881355932,0.15254237288135594,0.5423728813559322
