epoch,train_loss,val_loss,train_qwk,val_qwk,lr
1,1.6709863259292104,1.6328180717385334,0.30112604793122566,0.5789865866862169,5e-05
2,1.5164570710964358,1.4033831124720366,0.6348842322778331,0.6918485711837539,4.9806810182204715e-05
3,1.3393884749438523,1.3041349565205367,0.7321125017982495,0.7572841728824451,4.9230287447651464e-05
4,1.2718062589214023,1.258558450833611,0.7722093448303227,0.7839532383237452,4.827952390426216e-05
5,1.2380985538056501,1.3028094360361928,0.7725906150259862,0.7699554975300815,4.696951366107466e-05
6,1.217664682572804,1.1881194231302843,0.7900664340579988,0.8210218134947374,4.532091636218621e-05
7,1.183042002308921,1.176289949728095,0.8130341044787843,0.8171114477565412,4.335973137182458e-05
8,1.1494130878747322,1.1821749411199405,0.8222470481084587,0.8219387023346376,4.111688774884289e-05
9,1.1458013655379293,1.1853604303753895,0.8255596848512726,0.812812218682513,3.862775647698541e-05
10,1.111041935653063,1.173094063349392,0.8370356824447615,0.8254885016930023,3.5931592643344276e-05
11,1.0949293136271858,1.1596328982192536,0.8460141365523017,0.8562282971756203,3.3070916362186205e-05
12,1.0868448696279396,1.1619545522591341,0.8466725808446826,0.8430900963294088,3.0090842207350255e-05
13,1.0646514475995255,1.1549209605740465,0.8526164116337627,0.8594195531113524,2.703836772846818e-05
14,1.0574758518943994,1.1593379481979038,0.8726258083709699,0.8662194314865328,2.3961632271531826e-05
15,1.048238288804036,1.1625445883559145,0.8766092457396447,0.8531476888361407,2.090915779264975e-05
16,1.0304004639305926,1.185629496431869,0.8742194101666495,0.8597058863738898,1.7929083637813798e-05
17,1.0321724630831373,1.2126359094096266,0.8772542902153377,0.8416340896374579,1.5068407356655722e-05
18,1.0114435311559111,1.152259217656177,0.885293804029833,0.8659565974661413,1.2372243523014577e-05
19,1.014080355943711,1.1835180278057638,0.8818256275803069,0.8577093732667775,9.883112251157102e-06
20,1.0181542706424598,1.1664704696639725,0.8803540215416943,0.8569493588835118,7.640268628175424e-06
21,1.0271875136392319,1.1702027508746022,0.8707346332341785,0.8691891990829927,5.679083637813791e-06
22,1.011277281702052,1.1734330605553545,0.8818559208045598,0.8521215829594971,4.030486338925344e-06
23,1.0194145157649017,1.1811628749837046,0.8788594872503167,0.8559480327256439,2.7204760957378426e-06
24,1.0175245117588978,1.1463298684229022,0.8855477848837084,0.8685489228919407,1.7697125523485415e-06
25,1.0126808349865335,1.16811033403096,0.8814035030296583,0.869715445624692,1.1931898177952948e-06
