,precision,recall,f1-score,support
No DR,0.9942857142857143,0.96398891966759,0.9789029535864979,361.0
Mild,0.6349206349206349,0.5405405405405406,0.583941605839416,74.0
Moderate,0.717391304347826,0.825,0.7674418604651163,200.0
Severe,0.35714285714285715,0.38461538461538464,0.37037037037037035,39.0
Proliferative,0.6666666666666666,0.5423728813559322,0.5981308411214953,59.0
accuracy,0.8185538881309686,0.8185538881309686,0.8185538881309686,0.8185538881309686
macro avg,0.6740814354727398,0.6513035452358894,0.6597575262765792,733.0
weighted avg,0.8221847687213368,0.8185538881309686,0.8183058407100661,733.0
