epoch,train_loss,val_loss,train_qwk,val_qwk,lr_main,lr_gate
1,1.4181433627001272,1.2444650381803513,0.6387244545036348,0.8268567609134387,5e-05,5e-06
2,1.203862082081205,1.1014580001001772,0.8199922315837084,0.8472872998819411,4.98657864365227e-05,4.989043790736547e-06
3,1.1299106402358177,1.1302248453316481,0.8581462319110167,0.8613496363234046,4.946461621797824e-05,4.9562952014676115e-06
4,1.103742498305578,1.125721923035124,0.8721730973298835,0.8785043716878537,4.880088464923127e-05,4.902113032590307e-06
5,1.0628470488562571,1.1335467624923456,0.8864379300250534,0.8793486967095204,4.7881863712243726e-05,4.827090915285201e-06
6,1.0230303778635383,1.125271720406802,0.885973919810273,0.8762266202644733,4.671762239271876e-05,4.7320508075688774e-06
7,0.98616782285537,1.2537436925846597,0.8952219448566882,0.8651790796981214,4.532091636218622e-05,4.618033988749895e-06
8,0.963997122458606,1.0934523237140283,0.8998633394376974,0.8833263671394136,4.370704822419616e-05,4.486289650954788e-06
9,0.9357576551326939,1.1320956203600634,0.915041665792816,0.873394102607143,4.1893699855792026e-05,4.338261212717716e-06
10,0.9226822428384983,1.1663701654128407,0.9142471102193496,0.8710524539917993,3.990073868116559e-05,4.175570504584947e-06
11,0.8574588140447393,1.1446410362487254,0.9250878020296484,0.8962985381473171,3.775e-05,4.000000000000001e-06
12,0.8528294269330495,1.2066768521200055,0.9263047171181905,0.9008581050834931,3.546504775535711e-05,3.813473286151602e-06
13,0.8279053948068489,1.2277735711439797,0.9307678007671527,0.8731136407163869,3.307091636218621e-05,3.618033988749896e-06
14,0.8008098053347512,1.2398556545376778,0.9316668536364295,0.9033454206499869,3.05938364250351e-05,3.41582338163552e-06
15,0.7716302619155812,1.2464215745744498,0.9430901705658243,0.8689075305303201,2.806094735005751e-05,3.209056926535309e-06
16,0.7500884808214224,1.3299366698964783,0.9438584914328663,0.8889008530512807,2.5500000000000003e-05,3.0000000000000026e-06
17,0.7124733898880047,1.2201413748704868,0.9556277969946443,0.8963659816457608,2.2939052649942493e-05,2.7909430734646955e-06
18,0.6938865149865683,1.3419515820948973,0.9554145694529899,0.873755667448543,2.0406163574964894e-05,2.5841766183644828e-06
19,0.6752319390751036,1.3753519252590511,0.9582003407289547,0.892100160422467,1.792908363781379e-05,2.3819660112501067e-06
20,0.6633205180759326,1.3622025014913601,0.9661756685126968,0.8953392657939961,1.5534952244642897e-05,2.186526713848401e-06
21,0.6541163604249747,1.3636200123507043,0.9675980050829465,0.8815808327172775,1.3250000000000007e-05,2.000000000000001e-06
22,0.6259664092872708,1.377538534934106,0.9699314113544811,0.8872940416033496,1.1099261318834413e-05,1.8244294954150546e-06
23,0.6284449307567742,1.4067416440533556,0.9685394621514394,0.8850580632020659,9.106300144207984e-06,1.6617387872822846e-06
24,0.6011131410296672,1.4018015194198359,0.9732899855423055,0.8929472757618757,7.292951775803846e-06,1.5137103490452123e-06
