epoch,train_loss,val_loss,train_qwk,val_qwk,lr
1,1.538575545654219,1.3743983240631539,0.5576064375090152,0.7346613376644746,5e-05
2,1.3080268433976514,1.3039553504649217,0.7430289545290176,0.7936246166334662,4.969836434458088e-05
3,1.2030250355753673,1.2359030067436094,0.7977634518618584,0.8127943281183946,4.8800884649231264e-05
4,1.1199198509042736,1.2576574532966303,0.8290046483466037,0.8256269124182889,4.732965984261501e-05
5,1.081095079459052,1.2252274519059716,0.8608691800648693,0.8380384576638993,4.532091636218621e-05
6,1.0218496781551034,1.2282126427181368,0.8748929414336513,0.8529862057486144,4.282411613907041e-05
7,0.9977321067105042,1.2227660645314349,0.8814407806362154,0.8439705480869641,3.9900738681165586e-05
8,0.9699150833371715,1.2282656290666845,0.8836356463716337,0.841348126796828,3.662276724361889e-05
9,0.9323047581138298,1.2450649583242772,0.8947280326499045,0.8523658579861794,3.3070916362186205e-05
10,0.8949411677192812,1.2476567114756358,0.9162636543679267,0.8406104639808412,2.9332644393485654e-05
11,0.8868319127701055,1.2383449382898284,0.9195011213227211,0.8556068161756387,2.5499999999999996e-05
12,0.8622511075562007,1.267516841975654,0.9188250798760615,0.8593237710200838,2.1667355606514346e-05
13,0.8344825802405188,1.2205141189137125,0.9196385347524171,0.850869482048101,1.7929083637813788e-05
14,0.8092583028451066,1.2609967107210702,0.9331655494525535,0.8547951026948901,1.4377232756381102e-05
15,0.7958261431604319,1.2434722105177438,0.9257466823494335,0.8534420080661372,1.109926131883441e-05
