epoch,train_loss,val_loss,train_qwk,val_qwk,lr
1,1.3380027264153322,1.1909276470541954,0.7350462437123089,0.863548373794558,5e-05
2,1.1916993383577381,1.2959137716047142,0.8482824509857525,0.819811229010438,4.946461621797824e-05
3,1.1641359626433696,1.1746150511114493,0.8693162674908642,0.832862115718644,4.788186371224372e-05
4,1.1376366905593611,1.5006231673709725,0.8786531068465816,0.7637344361500151,4.532091636218621e-05
5,1.1095579292975863,1.0588226328077524,0.8854668644385222,0.8932637552771818,4.1893699855792026e-05
6,1.0622053547250299,1.2209083776435126,0.9021157094919112,0.887289453515304,3.775e-05
7,1.0295228871934898,1.2000575476204571,0.9088363586987891,0.8622027731810917,3.307091636218622e-05
8,1.0161065271614682,1.2347588164974814,0.9182797528218704,0.8726334220768411,2.806094735005752e-05
9,0.9838091685941079,1.2796989821869393,0.9223026041902926,0.8784449781716345,2.2939052649942503e-05
10,0.9396996721117102,1.2336503239753454,0.9326673799513672,0.8617618151287324,1.7929083637813798e-05
